time,temperature,humidity,vibration,spoilage,remaining_hours
0,12.52,77.77,2.45,1,2.4
1,12.24,77.32,2.41,1,2.4
2,12.1,77.41,2.43,1,2.4
3,12.13,78.14,2.59,1,2.4
4,11.4,78.44,2.56,1,2.4
5,11.35,77.7,2.71,1,2.4
6,11.35,77.88,2.75,1,2.4
7,11.6,77.73,2.75,1,2.4
8,11.62,78.06,2.73,1,2.4
9,11.61,77.69,2.66,1,2.4
10,11.9,78.48,2.62,1,2.4
11,12.01,77.88,2.58,1,2.4
12,11.88,78.65,2.61,1,2.4
13,11.46,77.56,2.51,1,2.4
14,11.51,77.72,2.58,1,2.4
15,10.96,78.0,2.58,1,2.4
16,11.1,78.33,2.82,1,2.4
17,11.42,78.38,2.86,1,2.4
18,11.14,77.85,2.67,1,2.4
19,10.73,78.17,2.58,1,2.4
20,10.87,78.82,2.6,1,2.4
21,11.05,78.38,2.59,1,2.4
22,11.49,77.81,2.69,1,2.4
23,12.01,78.04,2.52,1,2.4
24,12.11,78.0,2.56,1,2.4
25,12.33,77.61,2.48,1,2.4
26,12.28,77.13,2.49,1,2.4
27,12.25,78.45,2.39,1,2.4
28,12.01,78.66,2.48,1,2.4
29,12.7,79.47,2.56,1,2.4
30,12.79,79.92,2.5,1,2.4
31,12.69,79.18,2.48,1,2.4
32,12.98,79.07,2.4,1,2.4
33,12.87,79.43,2.37,1,2.4
34,13.13,78.78,2.29,1,2.4
35,12.98,78.12,2.58,1,2.4
36,12.65,78.58,2.52,1,2.4
37,12.49,78.73,2.37,1,2.4
38,12.29,78.66,2.29,1,2.4
39,12.05,79.2,2.39,1,2.4
40,11.91,79.16,2.51,1,2.4
41,11.49,79.33,2.71,1,2.4
42,12.08,78.36,2.63,1,2.4
43,12.13,77.7,2.56,1,2.4
44,12.09,78.4,2.56,1,2.4
45,12.15,78.65,2.61,1,2.4
46,12.16,78.06,2.69,1,2.4
47,12.29,77.51,2.62,1,2.4
48,12.55,77.81,2.55,1,2.4
49,12.47,77.74,2.61,1,2.4
50,13.54,70.39,2.45,1,2.4
51,13.7,71.08,2.7,1,2.4
52,13.61,70.97,2.56,1,2.4
53,13.96,71.62,2.47,1,2.4
54,14.15,72.23,2.49,1,2.4
55,14.4,72.32,2.37,1,2.4
56,14.72,72.98,2.45,1,2.4
57,14.43,72.61,2.33,1,2.4
58,14.66,73.24,2.38,1,2.4
59,14.94,72.81,2.39,1,2.4
60,14.53,72.42,2.48,1,2.4
61,14.46,73.02,2.53,1,2.4
62,15.0,73.07,2.39,1,2.4
63,14.99,72.59,2.49,1,2.4
64,15.0,72.52,2.48,1,2.4
65,15.0,72.3,2.55,1,2.4
66,15.0,72.12,2.46,1,2.4
67,14.85,72.48,2.47,1,2.4
68,15.0,73.36,2.49,1,2.4
69,14.76,73.89,2.5,1,2.4
70,15.0,74.42,2.4,1,2.4
71,15.0,74.88,2.34,1,2.4
72,15.0,75.0,2.34,1,2.4
73,15.0,75.72,2.35,1,2.4
74,15.0,76.22,2.37,1,2.4
75,15.0,75.64,2.22,1,2.4
76,15.0,75.21,2.21,1,2.4
77,14.84,74.32,2.25,1,2.4
78,14.72,74.36,2.16,1,2.4
79,14.61,75.14,2.17,1,2.4
80,14.78,74.5,2.41,1,2.4
81,15.0,75.18,2.5,1,2.4
82,15.0,75.41,2.6,1,2.4
83,14.81,75.18,2.43,1,2.4
84,14.58,76.01,2.4,1,2.4
85,14.48,76.17,2.24,1,2.4
86,14.77,76.81,2.28,1,2.4
87,15.0,76.14,2.46,1,2.4
88,14.78,75.5,2.44,1,2.4
89,15.0,75.49,2.34,1,2.4
90,14.61,75.44,2.14,1,2.4
91,14.22,76.21,2.28,1,2.4
92,14.18,75.98,2.28,1,2.4
93,14.89,76.18,2.37,1,2.4
94,14.83,76.21,2.44,1,2.4
95,14.86,75.26,2.57,1,2.4
96,14.68,76.32,2.64,1,2.4
97,14.7,76.54,2.62,1,2.4
98,14.56,76.64,2.71,1,2.4
99,14.42,76.33,2.68,1,2.4
100,3.18,65.55,0.93,0,12.0
101,3.6,66.48,1.1,0,12.0
102,3.41,66.68,1.15,0,12.0
103,2.95,66.77,1.26,0,12.0
104,3.18,66.21,1.17,0,12.0
105,3.42,66.53,0.95,0,12.0
106,2.68,66.49,0.89,0,12.0
107,2.59,66.28,0.99,0,12.0
108,2.62,66.42,0.85,0,12.0
109,2.0,66.98,1.07,0,12.0
110,2.0,67.1,1.1,0,12.0
111,2.5,67.55,1.15,0,12.0
112,2.52,67.58,1.01,0,12.0
113,2.4,68.02,0.98,0,12.0
114,2.42,67.43,1.03,0,12.0
115,2.0,67.58,1.01,0,12.0
116,2.0,68.11,0.99,0,12.0
117,2.56,68.85,0.9,0,12.0
118,2.32,68.26,0.74,0,12.0
119,2.19,68.99,0.55,0,12.0
120,2.45,69.37,0.61,0,12.0
121,2.67,68.82,0.68,0,12.0
122,2.5,67.59,0.69,0,12.0
123,2.25,68.27,0.66,0,12.0
124,2.27,68.46,0.64,0,12.0
125,2.23,68.89,0.53,0,12.0
126,2.02,68.4,0.67,0,12.0
127,2.0,68.33,0.61,0,12.0
128,2.0,67.96,0.66,0,12.0
129,2.0,67.28,0.6,0,12.0
130,2.0,66.62,0.57,0,12.0
131,2.0,67.48,0.42,0,12.0
132,2.0,67.28,0.59,0,12.0
133,2.0,67.35,0.69,0,12.0
134,2.0,66.76,0.68,0,12.0
135,2.46,66.46,0.83,0,12.0
136,2.54,67.07,0.85,0,12.0
137,2.39,67.89,0.87,0,12.0
138,2.44,68.3,0.96,0,12.0
139,2.68,67.62,0.9,0,12.0
140,2.49,67.23,0.81,0,12.0
141,2.29,67.4,0.86,0,12.0
142,2.29,67.19,0.99,0,12.0
143,2.26,67.65,0.93,0,12.0
144,2.38,68.33,0.67,0,12.0
145,2.19,68.62,0.79,0,12.0
146,2.25,68.65,0.95,0,12.0
147,2.63,68.21,0.96,0,12.0
148,2.74,69.07,1.05,0,12.0
149,2.71,69.18,0.86,0,12.0
150,4.34,78.87,0.64,0,12.0
151,4.33,77.84,0.63,0,12.0
152,3.94,78.17,0.67,0,12.0
153,3.65,77.92,0.56,0,12.0
154,3.64,78.39,0.46,0,12.0
155,3.79,78.13,0.39,0,12.0
156,3.75,77.61,0.33,0,12.0
157,3.4,78.59,0.33,0,12.0
158,3.19,78.7,0.32,0,12.0
159,3.12,79.01,0.4,0,12.0
160,2.96,78.72,0.37,0,12.0
161,2.27,77.96,0.51,0,12.0
162,2.76,77.84,0.56,0,12.0
163,2.86,79.38,0.68,0,12.0
164,2.82,78.9,0.52,0,12.0
165,2.88,78.52,0.37,0,12.0
166,2.68,77.98,0.54,0,12.0
167,2.95,77.98,0.69,0,12.0
168,2.97,77.54,0.84,0,12.0
169,3.13,77.03,0.82,0,12.0
170,2.87,76.33,0.92,0,12.0
171,3.44,75.64,0.97,0,12.0
172,3.25,75.39,0.91,0,12.0
173,2.99,75.42,0.83,0,12.0
174,3.07,75.39,0.81,0,12.0
175,2.8,75.1,0.88,0,12.0
176,2.95,74.61,0.89,0,12.0
177,3.17,73.78,0.95,0,12.0
178,2.98,74.06,0.87,0,12.0
179,2.43,73.25,0.87,0,12.0
180,2.51,72.8,0.94,0,12.0
181,2.01,72.77,0.82,0,12.0
182,2.0,72.79,0.73,0,12.0
183,2.0,73.29,0.67,0,12.0
184,2.25,72.73,0.73,0,12.0
185,2.68,71.49,0.65,0,12.0
186,2.86,71.39,0.68,0,12.0
187,2.68,71.43,0.67,0,12.0
188,3.03,71.56,0.7,0,12.0
189,2.9,71.32,0.66,0,12.0
190,3.02,71.11,0.69,0,12.0
191,3.64,71.54,0.66,0,12.0
192,4.0,71.34,0.45,0,12.0
193,3.7,70.4,0.42,0,12.0
194,3.71,71.24,0.45,0,12.0
195,3.64,71.66,0.23,0,12.0
196,3.71,72.04,0.08,0,12.0
197,4.05,72.21,0.04,0,12.0
198,4.24,73.35,0.06,0,12.0
199,4.32,73.12,0.0,0,12.0
200,4.32,68.99,0.56,0,12.0
201,4.4,67.87,0.63,0,12.0
202,5.08,67.4,0.94,0,12.0
203,5.13,66.11,0.91,0,12.0
204,5.53,67.11,0.98,1,7.2
205,6.0,67.06,1.01,0,7.2
206,5.5,66.75,1.09,0,12.0
207,5.56,67.19,0.99,0,7.2
208,5.92,67.52,0.93,0,7.2
209,5.87,67.21,0.88,0,7.2
210,5.72,67.69,0.78,0,7.2
211,5.51,68.39,0.71,0,7.2
212,5.65,69.04,0.68,1,7.2
213,5.36,69.01,0.77,0,12.0
214,5.62,68.99,0.72,1,7.2
215,5.64,69.23,0.57,0,7.2
216,5.42,69.68,0.5,0,12.0
217,5.23,69.9,0.5,0,12.0
218,5.91,69.09,0.51,0,7.2
219,6.25,68.56,0.4,0,7.2
220,6.66,68.39,0.36,0,7.2
221,6.02,68.94,0.32,0,7.2
222,6.33,68.44,0.56,0,7.2
223,6.91,69.23,0.56,0,7.2
224,6.74,69.12,0.48,1,7.2
225,7.02,69.83,0.49,1,7.2
226,7.39,68.74,0.41,0,7.2
227,7.2,67.89,0.51,0,7.2
228,7.24,68.38,0.6,1,7.2
229,7.43,69.0,0.64,1,7.2
230,6.92,68.55,0.66,1,7.2
231,6.71,68.72,0.75,1,7.2
232,6.78,69.09,0.85,0,7.2
233,6.62,69.68,0.78,0,7.2
234,6.51,69.92,0.8,1,7.2
235,6.22,69.25,0.79,0,7.2
236,6.73,69.3,0.71,0,7.2
237,7.22,68.8,0.89,0,7.2
238,7.31,69.11,0.99,0,7.2
239,7.47,69.1,1.13,0,7.2
240,7.45,67.81,1.07,0,7.2
241,7.54,67.37,0.98,1,7.2
242,7.76,66.7,1.25,1,7.2
243,7.69,67.4,1.2,0,7.2
244,7.8,67.34,1.18,1,7.2
245,8.16,67.72,1.33,1,7.2
246,8.32,67.66,1.33,0,7.2
247,7.98,67.04,1.34,1,7.2
248,8.1,66.52,1.13,0,7.2
249,7.99,67.34,1.06,0,7.2
250,2.41,77.46,0.9,0,12.0
251,2.76,76.8,0.87,0,12.0
252,3.08,76.86,0.96,0,12.0
253,3.26,77.5,1.06,0,12.0
254,3.12,77.82,0.91,0,12.0
255,3.11,78.22,0.92,0,12.0
256,3.24,78.12,1.04,0,12.0
257,3.22,77.89,1.12,0,12.0
258,2.8,78.14,1.02,0,12.0
259,3.18,78.01,1.03,0,12.0
260,3.3,77.04,0.97,0,12.0
261,3.62,77.47,1.0,0,12.0
262,3.21,77.77,1.07,0,12.0
263,3.23,78.38,1.0,0,12.0
264,3.07,77.14,1.09,0,12.0
265,3.17,76.3,0.92,0,12.0
266,2.9,76.69,0.89,0,12.0
267,2.66,76.19,0.78,0,12.0
268,2.08,75.59,0.67,0,12.0
269,2.29,75.5,0.59,0,12.0
270,2.98,75.17,0.71,0,12.0
271,3.47,74.39,0.72,0,12.0
272,3.31,74.09,0.77,0,12.0
273,3.13,73.84,0.75,0,12.0
274,3.01,73.25,0.83,0,12.0
275,3.33,73.42,0.8,0,12.0
276,3.12,73.07,1.03,0,12.0
277,3.4,72.65,1.05,0,12.0
278,3.29,72.94,1.1,0,12.0
279,3.61,72.52,1.11,0,12.0
280,3.09,71.89,1.2,0,12.0
281,2.8,71.47,1.2,0,12.0
282,3.01,70.94,0.85,0,12.0
283,2.75,71.54,0.89,0,12.0
284,3.15,70.98,0.72,0,12.0
285,3.29,71.1,0.75,0,12.0
286,3.57,71.31,0.79,0,12.0
287,3.78,71.56,0.88,0,12.0
288,4.08,72.32,0.82,0,12.0
289,4.23,72.14,0.73,0,12.0
290,4.02,72.39,0.77,0,12.0
291,4.14,72.27,0.77,0,12.0
292,4.39,71.53,0.78,0,12.0
293,4.41,71.91,0.64,0,12.0
294,4.86,72.01,0.67,0,12.0
295,4.74,72.28,0.67,0,12.0
296,5.1,71.56,0.69,0,12.0
297,5.23,71.47,0.65,0,12.0
298,5.12,71.55,0.47,0,12.0
299,5.41,71.31,0.48,0,12.0
300,8.31,72.55,1.95,1,7.2
301,8.26,73.12,1.91,0,7.2
302,8.46,73.1,2.04,0,7.2
303,8.49,73.33,2.09,0,7.2
304,8.62,73.45,2.06,1,2.4
305,9.09,72.89,1.94,1,2.4
306,9.37,73.32,1.98,1,2.4
307,9.28,73.57,2.15,1,2.4
308,10.04,72.74,2.11,1,2.4
309,9.89,73.56,1.86,1,2.4
310,10.05,73.43,2.02,1,2.4
311,10.5,73.61,1.86,1,2.4
312,10.32,73.38,1.73,1,2.4
313,10.67,72.65,1.93,1,2.4
314,11.26,72.46,1.96,1,2.4
315,11.24,72.91,2.09,1,2.4
316,11.32,73.15,2.03,1,2.4
317,11.45,73.23,1.94,1,2.4
318,11.44,73.04,1.87,1,2.4
319,11.1,73.07,1.8,1,2.4
320,10.96,73.6,1.86,1,2.4
321,10.66,73.78,1.87,1,2.4
322,11.17,74.47,1.72,1,2.4
323,11.43,75.11,1.78,1,2.4
324,11.33,76.31,1.84,1,2.4
325,11.92,76.99,1.89,1,2.4
326,11.75,76.98,1.87,1,2.4
327,11.39,77.3,2.02,1,2.4
328,11.3,78.38,1.87,1,2.4
329,11.61,79.22,1.85,1,2.4
330,11.56,79.74,1.9,1,2.4
331,10.96,79.32,1.9,1,2.4
332,10.55,79.08,1.76,1,2.4
333,10.44,78.91,1.8,1,2.4
334,10.41,79.16,1.83,1,2.4
335,10.72,79.6,1.91,1,2.4
336,11.65,79.77,2.17,1,2.4
337,11.77,79.73,2.13,1,2.4
338,12.23,80.55,2.19,1,2.4
339,12.57,79.91,2.04,1,2.4
340,12.94,79.85,2.11,1,2.4
341,12.72,80.68,1.96,1,2.4
342,12.31,81.4,1.7,1,2.4
343,12.42,81.35,1.62,1,2.4
344,12.36,80.92,1.78,1,2.4
345,12.9,80.58,1.81,1,2.4
346,12.51,81.12,1.91,1,2.4
347,12.42,81.13,1.9,1,2.4
348,11.93,81.9,1.82,1,2.4
349,11.7,81.82,1.92,1,2.4
350,7.28,66.56,1.87,0,7.2
351,6.83,66.81,1.66,1,7.2
352,6.68,67.7,1.68,0,7.2
353,7.01,67.54,1.63,0,7.2
354,6.64,67.86,1.65,0,7.2
355,6.37,67.62,1.4,0,7.2
